country,vaccine,multilateral_agreement,donations,covax,unknown,total
Bermuda,Unknown,(Blank),(Blank),(Blank),"80,722","80,722"
Bermuda,AstraZeneca - Vaxzevria,(Blank),(Blank),"9,600",(Blank),"9,600"
Saint Vincent and the Grenadines,AstraZeneca - Vaxzevria,(Blank),(Blank),"45,600",(Blank),"45,600"
Saint Vincent and the Grenadines,SII - Covishield,(Blank),"40,000",(Blank),(Blank),"40,000"
Sao Tome and Principe,Unknown,(Blank),(Blank),(Blank),"33,996","33,996"
Sao Tome and Principe,AstraZeneca - Vaxzevria,(Blank),(Blank),"24,000",(Blank),"24,000"
Sao Tome and Principe,SII - Covishield,(Blank),(Blank),"24,000",(Blank),"24,000"
Grenada,AstraZeneca - Vaxzevria,(Blank),(Blank),"45,600",(Blank),"45,600"
Grenada,Unknown,(Blank),(Blank),(Blank),"34,331","34,331"
Gibraltar,Unknown,(Blank),(Blank),(Blank),"78,125","78,125"
Saint Lucia,AstraZeneca - Vaxzevria,(Blank),(Blank),"50,400",(Blank),"50,400"
Saint Lucia,SII - Covishield,(Blank),"25,000",(Blank),(Blank),"25,000"
Eswatini,SII - Covishield,(Blank),"20,000","12,000",(Blank),"32,000"
Eswatini,Unknown,(Blank),(Blank),(Blank),"27,623","27,623"
Eswatini,AstraZeneca - Vaxzevria,(Blank),(Blank),"14,400",(Blank),"14,400"
Saint Kitts and Nevis,Unknown,(Blank),(Blank),(Blank),"21,850","21,850"
Saint Kitts and Nevis,AstraZeneca - Vaxzevria,(Blank),(Blank),"21,600",(Blank),"21,600"
Saint Kitts and Nevis,SII - Covishield,(Blank),"20,000",(Blank),(Blank),"20,000"
Tonga,AstraZeneca - Vaxzevria,(Blank),(Blank),"48,000",(Blank),"48,000"
Gambia,SII - Covishield,(Blank),(Blank),"36,000",(Blank),"36,000"
Gambia,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"10,000",(Blank),(Blank),"10,000"
Turks and Caicos Islands,Unknown,(Blank),(Blank),(Blank),"45,342","45,342"
San Marino,Unknown,(Blank),(Blank),(Blank),"37,157","37,157"
San Marino,Gamaleya - Sputnik V,"7,500",(Blank),(Blank),(Blank),"7,500"
Greenland,Unknown,(Blank),(Blank),(Blank),"43,647","43,647"
Turkmenistan,Unknown,(Blank),(Blank),(Blank),"41,993","41,993"
Guinea-Bissau,SII - Covishield,(Blank),"12,000","28,800",(Blank),"40,800"
Liechtenstein,Moderna - mRNA-1273,"29,100",(Blank),(Blank),(Blank),"29,100"
Liechtenstein,Pfizer BioNTech - Comirnaty,"11,700",(Blank),(Blank),(Blank),"11,700"
Monaco,Unknown,(Blank),(Blank),(Blank),"37,872","37,872"
Kiribati,AstraZeneca - Vaxzevria,(Blank),(Blank),"24,000",(Blank),"24,000"
Vanuatu,AstraZeneca - Vaxzevria,(Blank),(Blank),"24,000",(Blank),"24,000"
British Virgin Islands,Unknown,(Blank),(Blank),(Blank),"22,247","22,247"
Cook Islands,Unknown,(Blank),(Blank),(Blank),"18,942","18,942"
Nauru,SII - Covishield,(Blank),"10,000",(Blank),(Blank),"10,000"
Nauru,AstraZeneca - Vaxzevria,(Blank),(Blank),"7,200",(Blank),"7,200"
Anguilla,Unknown,(Blank),(Blank),(Blank),"16,460","16,460"
Tuvalu,AstraZeneca - Vaxzevria,(Blank),(Blank),"9,600",(Blank),"9,600"
Wallis and Futuna,Unknown,(Blank),(Blank),(Blank),"8,933","8,933"
Saint Helena,Unknown,(Blank),(Blank),(Blank),"7,892","7,892"
Montserrat,Unknown,(Blank),(Blank),(Blank),"2,651","2,651"
