country,vaccine,multilateral_agreement,donations,covax,unknown,total
Hungary,Gamaleya - Sputnik V,"2,000,000",(Blank),(Blank),(Blank),"2,000,000"
Hungary,Moderna - mRNA-1273,"970,800",(Blank),(Blank),(Blank),"970,800"
Hungary,Janssen - Ad26.COV 2.S,"466,800",(Blank),(Blank),(Blank),"466,800"
United Arab Emirates,Unknown,(Blank),(Blank),(Blank),"12,374,641","12,374,641"
United Arab Emirates,Sinopharm (Beijing) - BBIBP-CorV,"3,000,000",(Blank),(Blank),(Blank),"3,000,000"
United Arab Emirates,SII - Covishield,"200,000",(Blank),(Blank),(Blank),"200,000"
Romania,Pfizer BioNTech - Comirnaty,"10,271,550",(Blank),(Blank),(Blank),"10,271,550"
Romania,AstraZeneca - Vaxzevria,"2,968,400",(Blank),(Blank),(Blank),"2,968,400"
Romania,Moderna - mRNA-1273,"1,235,400",(Blank),(Blank),(Blank),"1,235,400"
Romania,Janssen - Ad26.COV 2.S,"862,900",(Blank),(Blank),(Blank),"862,900"
Bangladesh,SII - Covishield,"7,000,000","2,100,000",(Blank),(Blank),"9,100,000"
Bangladesh,Moderna - mRNA-1273,(Blank),"2,500,000","2,500,000",(Blank),"5,000,000"
Bangladesh,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"1,100,000",(Blank),(Blank),"1,100,000"
Bangladesh,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Philippines,Sinovac - CoronaVac,"4,000,000","1,000,000",(Blank),(Blank),"5,000,000"
Philippines,AstraZeneca - Vaxzevria,(Blank),(Blank),"4,584,000",(Blank),"4,584,000"
Philippines,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"2,472,210",(Blank),"2,472,210"
Philippines,Gamaleya - Sputnik V,"115,000",(Blank),(Blank),(Blank),"115,000"
Philippines,Moderna - mRNA-1273,"99,600",(Blank),(Blank),(Blank),"99,600"
Belgium,Pfizer BioNTech - Comirnaty,"7,893,015",(Blank),(Blank),(Blank),"7,893,015"
Belgium,AstraZeneca - Vaxzevria,"2,017,600",(Blank),(Blank),(Blank),"2,017,600"
Belgium,Moderna - mRNA-1273,"1,147,200",(Blank),(Blank),(Blank),"1,147,200"
Belgium,Janssen - Ad26.COV 2.S,"562,000",(Blank),(Blank),(Blank),"562,000"
Portugal,Pfizer BioNTech - Comirnaty,"7,052,760",(Blank),(Blank),(Blank),"7,052,760"
Portugal,AstraZeneca - Vaxzevria,"2,418,600",(Blank),(Blank),(Blank),"2,418,600"
Portugal,Moderna - mRNA-1273,"1,030,800",(Blank),(Blank),(Blank),"1,030,800"
Portugal,Janssen - Ad26.COV 2.S,"492,000",(Blank),(Blank),(Blank),"492,000"
Israel,Pfizer BioNTech - Comirnaty,"8,000,000",(Blank),(Blank),(Blank),"8,000,000"
Israel,Unknown,(Blank),(Blank),(Blank),"2,723,917","2,723,917"
Israel,Moderna - mRNA-1273,"120,000",(Blank),(Blank),(Blank),"120,000"
Thailand,Unknown,(Blank),(Blank),(Blank),"5,360,748","5,360,748"
Thailand,Sinovac - CoronaVac,"2,500,000","1,000,000",(Blank),(Blank),"3,500,000"
Thailand,AstraZeneca - Vaxzevria,"1,917,000",(Blank),(Blank),(Blank),"1,917,000"
Malaysia,Unknown,(Blank),(Blank),(Blank),"8,120,476","8,120,476"
Malaysia,Sinovac - CoronaVac,"1,200,000",(Blank),(Blank),(Blank),"1,200,000"
Malaysia,AstraZeneca - Vaxzevria,(Blank),(Blank),"828,000",(Blank),"828,000"
Sweden,Pfizer BioNTech - Comirnaty,"7,263,165",(Blank),(Blank),(Blank),"7,263,165"
Sweden,AstraZeneca - Vaxzevria,"1,613,700",(Blank),(Blank),(Blank),"1,613,700"
Sweden,Moderna - mRNA-1273,"960,000",(Blank),(Blank),(Blank),"960,000"
Peru,Unknown,(Blank),(Blank),(Blank),"5,959,624","5,959,624"
Peru,Pfizer BioNTech - Comirnaty,"1,342,780",(Blank),"827,190",(Blank),"2,169,970"
Peru,AstraZeneca - Vaxzevria,(Blank),(Blank),"787,200",(Blank),"787,200"
Peru,Sinopharm (Beijing) - BBIBP-CorV,"700,000",(Blank),(Blank),(Blank),"700,000"
Austria,Pfizer BioNTech - Comirnaty,"5,845,745",(Blank),(Blank),(Blank),"5,845,745"
Austria,AstraZeneca - Vaxzevria,"2,066,400",(Blank),(Blank),(Blank),"2,066,400"
Austria,Moderna - mRNA-1273,"884,400",(Blank),(Blank),(Blank),"884,400"
Austria,Janssen - Ad26.COV 2.S,"272,400",(Blank),(Blank),(Blank),"272,400"
Greece,Unknown,(Blank),(Blank),(Blank),"8,802,118","8,802,118"
Czechia,Pfizer BioNTech - Comirnaty,"7,044,570","5,000",(Blank),(Blank),"7,049,570"
Czechia,AstraZeneca - Vaxzevria,"805,200",(Blank),(Blank),(Blank),"805,200"
Czechia,Moderna - mRNA-1273,"785,100",(Blank),(Blank),(Blank),"785,100"
Czechia,Janssen - Ad26.COV 2.S,"149,950",(Blank),(Blank),(Blank),"149,950"
Australia,Unknown,(Blank),(Blank),(Blank),"7,013,473","7,013,473"
Australia,AstraZeneca - Vaxzevria,"1,100,000",(Blank),(Blank),(Blank),"1,100,000"
Australia,Pfizer BioNTech - Comirnaty,"142,000",(Blank),"513,630",(Blank),"655,630"
Dominican Republic,Sinovac - CoronaVac,"4,268,000",(Blank),(Blank),(Blank),"4,268,000"
Dominican Republic,Unknown,(Blank),(Blank),(Blank),"3,048,352","3,048,352"
Dominican Republic,AstraZeneca - Vaxzevria,"475,000",(Blank),"278,400",(Blank),"753,400"
Dominican Republic,Pfizer BioNTech - Comirnaty,"228,150",(Blank),(Blank),(Blank),"228,150"
Dominican Republic,SII - Covishield,"20,000","30,000",(Blank),(Blank),"50,000"
Dominican Republic,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"50,000",(Blank),(Blank),"50,000"
Cambodia,Sinovac - CoronaVac,"3,500,000",(Blank),(Blank),(Blank),"3,500,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"2,200,000",(Blank),(Blank),"2,200,000"
Cambodia,Unknown,(Blank),(Blank),(Blank),"2,114,310","2,114,310"
Cambodia,SII - Covishield,(Blank),(Blank),"324,000",(Blank),"324,000"
Iran (Islamic Republic of),Unknown,(Blank),(Blank),(Blank),"4,842,914","4,842,914"
Iran (Islamic Republic of),AstraZeneca - Vaxzevria,(Blank),(Blank),"2,152,800",(Blank),"2,152,800"
Iran (Islamic Republic of),Sinopharm (Beijing) - BBIBP-CorV,(Blank),"650,000",(Blank),(Blank),"650,000"
Iran (Islamic Republic of),Bharat - Covaxin,"125,000",(Blank),(Blank),(Blank),"125,000"
Iran (Islamic Republic of),Gamaleya - Sputnik V,"100,000",(Blank),(Blank),(Blank),"100,000"
Switzerland,Unknown,(Blank),(Blank),(Blank),"7,489,716","7,489,716"
Cuba,Unknown,(Blank),(Blank),(Blank),"6,675,818","6,675,818"
Egypt,AstraZeneca - Vaxzevria,(Blank),(Blank),"2,623,200",(Blank),"2,623,200"
Egypt,Sinovac - CoronaVac,"2,000,000",(Blank),(Blank),(Blank),"2,000,000"
Egypt,Sinopharm (Beijing) - BBIBP-CorV,"1,000,000","650,000",(Blank),(Blank),"1,650,000"
Egypt,Gamaleya - Sputnik V,"210,000",(Blank),(Blank),(Blank),"210,000"
Egypt,SII - Covishield,"50,000",(Blank),(Blank),(Blank),"50,000"
Kazakhstan,Unknown,(Blank),(Blank),(Blank),"5,439,831","5,439,831"
Kazakhstan,Sinovac - CoronaVac,"500,000",(Blank),(Blank),(Blank),"500,000"
Kazakhstan,Gamaleya - Sputnik V,"22,000",(Blank),(Blank),(Blank),"22,000"
Singapore,Unknown,(Blank),(Blank),(Blank),"5,580,703","5,580,703"
Singapore,Sinovac - CoronaVac,"200,000",(Blank),(Blank),(Blank),"200,000"
Denmark,Pfizer BioNTech - Comirnaty,"4,876,560",(Blank),(Blank),(Blank),"4,876,560"
Denmark,Moderna - mRNA-1273,"509,090",(Blank),(Blank),(Blank),"509,090"
Denmark,AstraZeneca - Vaxzevria,"202,920",(Blank),(Blank),(Blank),"202,920"
Denmark,Janssen - Ad26.COV 2.S,"42,300",(Blank),(Blank),(Blank),"42,300"
Ireland,Pfizer BioNTech - Comirnaty,"3,491,280",(Blank),(Blank),(Blank),"3,491,280"
Ireland,AstraZeneca - Vaxzevria,"1,176,300",(Blank),(Blank),(Blank),"1,176,300"
Ireland,Moderna - mRNA-1273,"492,000",(Blank),(Blank),(Blank),"492,000"
Ireland,Janssen - Ad26.COV 2.S,"207,700",(Blank),(Blank),(Blank),"207,700"
Serbia,Unknown,(Blank),(Blank),(Blank),"3,902,111","3,902,111"
Serbia,Sinopharm (Beijing) - BBIBP-CorV,"940,000","200,000",(Blank),(Blank),"1,140,000"
Serbia,AstraZeneca - Vaxzevria,(Blank),(Blank),"177,600",(Blank),"177,600"
Serbia,Pfizer BioNTech - Comirnaty,"104,130",(Blank),"28,080",(Blank),"132,210"
Ecuador,Unknown,(Blank),(Blank),(Blank),"3,042,560","3,042,560"
Ecuador,AstraZeneca - Vaxzevria,"316,000",(Blank),"756,000",(Blank),"1,072,000"
Ecuador,Sinovac - CoronaVac,"700,000","20,000",(Blank),(Blank),"720,000"
Ecuador,Pfizer BioNTech - Comirnaty,"373,230",(Blank),(Blank),(Blank),"373,230"
Finland,Pfizer BioNTech - Comirnaty,"3,950,505",(Blank),(Blank),(Blank),"3,950,505"
Finland,AstraZeneca - Vaxzevria,"631,200",(Blank),(Blank),(Blank),"631,200"
Finland,Moderna - mRNA-1273,"555,600",(Blank),(Blank),(Blank),"555,600"
Finland,Janssen - Ad26.COV 2.S,"68,400",(Blank),(Blank),(Blank),"68,400"
Slovakia,Pfizer BioNTech - Comirnaty,"3,091,140",(Blank),(Blank),(Blank),"3,091,140"
Slovakia,AstraZeneca - Vaxzevria,"967,800","15,000",(Blank),(Blank),"982,800"
Slovakia,Moderna - mRNA-1273,"501,600",(Blank),(Blank),(Blank),"501,600"
Slovakia,Gamaleya - Sputnik V,"400,000",(Blank),(Blank),(Blank),"400,000"
Slovakia,Janssen - Ad26.COV 2.S,"137,075",(Blank),(Blank),(Blank),"137,075"
